Номер,Период_наблюдений,Объект_исследования,Предмет_исследований,Latitude,Longitude,Азот_нитритный,Азот_аммонийный,Азот_нитратный,Фенол,Нефтепродукты,Органические_вещества(по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Хлориды Сульфат-ион,Аммоний-ион,Нитрит-ион,Нитратный азот,Фосфат-ион,АПАВ,Цезий-137,Цезий-134,Йод-131,Окраска,Запахи,Плавающие_примеси,Нафталину,антраценуА,Бенз(а)перену, Фенол,Прозрачность,Литий,Цифлутрин,Цинерметрин,ор_ДДТ,Спироксамин,Сульфаты,Сероводород,Мышьяк,Бор,Хлороформ,Свинец,Ртуть,Кадмий,Тетрахлорметан,Энтерококков,Стафилококки,Фосфор
4,29.09.2020,Халактырский пляж,вода,53,159,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30.09.2020,бухта Малая Лагерная,вода,53,159,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.09.2020,бухта Большая Лагерная,вода,53,159,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30.09.2020,бухта Бабия,вода,53,159,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30.09.2020,Озерновская коса,вода,53,159,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30.09.2020,бухта Раковая Авачинская губа,вода,53,159,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01.10.2020,Халактырский пляж,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02.10.2020,бухта Малая Лагерная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,03.10.2020,Халактырский пляж,вода,53,159,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,03.10.2020,река Таёнка,вода,53,159,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
